Country             Capital
------------------ ------------------
Turkey              Ankara
Greece              Athens
Italy               Rome
Spain               Madrid
France              Paris
Germany             Berlin
Australia           Canberra
Canada              Ottawa
Mexico              Mexico City
Brazil              Brasilia
Argentina           Buenos Aires
South Africa        Pretoria
Thailand            Bangkok
Malaysia            Kuala Lumpur
Singapore           Singapore
Japan               Tokyo
China               Beijing
India               New Delhi
Pakistan            Islamabad
Bangladesh          Dhaka
Sri Lanka           Colombo
Nepal               Kathmandu
Bhutan              Thimphu
