Fruit               Taste
------------------  ------------------
Apple               Sweet
Mango               Sweet
Banana              Sweet
Grapes              Sweet
Orange              Sour
Pineapple           Sour
Watermelon          Watery
Papaya              Watery
Strawberry          Sour
Guava               Fleshy
Pomegranate         Sour
Cherry              Sour
Kiwi                Sour
Lemon               Sour
Peach               Sweet
Lychee              Fleshy
Plum                Sweet
Pear                Sweet
Coconut             Watery
Jackfruit           Fleshy
